Genotype,Range,Plate,Amount_Consumed,Total_Consumed,Con_Ratio,Latitude,Longitude,Population,Pair
SpainW65390,Native,3,18.18589965,28.38570418,0.640671076,28.15,-16.633333,MP-W65390,52
St.Augustine_14,Invasive,3,22.28940244,34.74482649,0.641517161,31.61666667,65.71666667,Florida1,79
TurkmenistanW62449,Native,3,24.08914117,37.49297103,0.642497527,37.444722,54.230556,MP-W624449,11
UzbekistanW68297,Native,3,20.03859206,31.12956212,0.643715835,40.066667,68.416667,MP-W68297,53
AfghanistanPI250782,Native,2,12.93671003,20.0782292,0.644315288,31.61666667,65.71666667,MP-PI250782,40
TurkmenistanW62449,Native,5,8.04899415,12.4675127,0.645597429,37.444722,54.230556,MP-W624449,2
Mt.Wilson_4,Invasive,5,21.62897378,33.46568381,0.646303058,34.2238,-118.0616,California1,17
St.Augustine_14,Invasive,3,26.87978416,41.5606134,0.646761007,31.61666667,65.71666667,Florida1,23
St.Augustine_14,Invasive,2,17.68056797,27.25094198,0.648805754,31.61666667,65.71666667,Florida1,24
AfghanistanPI250782,Native,2,19.47335426,29.97289752,0.649698757,31.61666667,65.71666667,MP-PI250782,60
CMS12_4,Native,3,14.36849198,22.10546328,0.649997324,38.7,-9.1833,Portugal1,37
St.Augustine_14,Invasive,5,22.90330732,35.15606553,0.651475271,31.61666667,65.71666667,Florida1,79
TurkmenistanW62449,Native,3,14.00382986,21.49427738,0.651514336,37.444722,54.230556,MP-W624449,73
CMS12_4,Native,3,25.65087618,39.36913346,0.651547899,38.7,-9.1833,Portugal1,71
TurkmenistanW62449,Native,1,13.408639,20.56887219,0.65188985,37.444722,54.230556,MP-W624449,2
IranPI227025,Native,3,10.61130484,16.23222796,0.653718323,32.63,48.26,MP-PI227025,68
AlgeriaW65435,Native,5,24.7455445,37.8520402,0.653744009,35.7,2.6,MP-W65435,75
GILNS10_6,Native,5,18.20382986,27.82663501,0.654187251,37.708491,-8.099286,Portugal2,13
GILNS1_2,Native,1,21.07575883,32.19401611,0.654648328,37.708491,-8.099286,Portugal2,47
TurkmenistanW62449,Native,1,26.79609361,40.92104206,0.654824322,37.444722,54.230556,MP-W624449,15
St.Augustine_14,Invasive,3,24.54313993,37.47796793,0.654868481,31.61666667,65.71666667,Florida1,24
NM58_13,Invasive,5,14.66666309,22.37796793,0.655406386,34.2238,-118.0616,California2,12
ChilePI368950,Invasive,3,21.67309299,33.0541835,0.65568381,-31.61,-71.53,MP-PI368950,83
AlgeriaW65435,Native,3,15.7129256,23.95230147,0.656009011,35.7,2.6,MP-W65435,8
Rivercrest_1,Invasive,4,19.98511584,30.46139721,0.656080077,27.98948333,-82.4658,Florida2,61
AustraliaPI197336,Invasive,5,19.40461367,29.49662881,0.657858693,-34.53333333,138.7333333,PI197336,44
St.Augustine_3,Invasive,3,11.45997192,17.35282401,0.660409621,31.61666667,65.71666667,Florida1,4
St.Augustine_14,Invasive,1,21.16185395,32.03839659,0.660515388,31.61666667,65.71666667,Florida1,79
St.Augustine_14,Invasive,3,25.74021282,38.90473261,0.661621636,31.61666667,65.71666667,Florida1,25
Mt.Wilson_2,Invasive,2,19.40116402,29.31246886,0.661874103,34.2238,-118.0616,California1,82
ChilePI368950,Invasive,2,13.08056797,19.72903958,0.663010884,-31.61,-71.53,MP-PI368950,83
AustraliaPI197336,Invasive,5,19.36237649,29.20201363,0.663049361,-34.53333333,138.7333333,PI197336,43
NM58_12,Invasive,2,17.95568532,27.0675127,0.663366654,34.2238,-118.0616,California2,8
Starlight,Invasive,1,16.89180701,25.46354051,0.663372283,33.3833,-118.4167,California3,34
GILNS13_6,Native,4,22.41480763,33.77023168,0.663744562,37.708491,-8.099286,Portugal2,29
GILNS10_6,Native,5,25.07309299,37.77023168,0.663832121,37.708491,-8.099286,Portugal2,21
AustraliaPI197336,Invasive,2,24.15756735,36.37875174,0.664057072,-34.53333333,138.7333333,PI197336,42
St.Augustine_3,Invasive,4,24.99206828,37.63118288,0.664131881,31.61666667,65.71666667,Florida1,3
Mt.Wilson_4,Invasive,1,21.58004543,32.36087467,0.666856062,34.2238,-118.0616,California1,17
AustraliaW65527,Invasive,2,18.19206828,27.22689628,0.668165335,-35.3,149.1333333,MP-W65527,54
Mt.Wilson_4,Invasive,4,20.48725914,30.61006429,0.669298141,34.2238,-118.0616,California1,18
ChilePI368959,Invasive,4,21.58642219,32.21267699,0.670121958,-31.625556,-71.524167,MP-PI368959,37
St.Augustine_14,Invasive,2,23.66399725,35.29668195,0.670431212,31.61666667,65.71666667,Florida1,27
UzbekistanW68297,Native,1,14.58051483,21.69286475,0.672134132,40.066667,68.416667,MP-W68297,50
Mt.Wilson_2,Invasive,5,21.92202134,32.60792099,0.672291292,34.2238,-118.0616,California1,82
St.Augustine_3,Invasive,3,22.88992498,34.03358745,0.67256868,31.61666667,65.71666667,Florida1,3
St.Augustine_14,Invasive,5,22.67413807,33.57686971,0.675290409,31.61666667,65.71666667,Florida1,26
AlgeriaW65435,Native,5,24.92949632,36.91591851,0.675304782,35.7,2.6,MP-W65435,31
GILNS4_1,Native,1,17.86159268,26.44963563,0.675305813,37.708491,-8.099286,Portugal2,18
TurkmenistanW62449,Native,2,19.79154574,29.23813532,0.676908617,37.444722,54.230556,MP-W624449,41
GreeceW65319,Native,1,20.50409113,30.22501425,0.678381521,39.06666667,21.98333333,MP-W65319,26
PeruPI308523,Invasive,5,14.26237649,20.98329961,0.679701322,-11.25,-74.41,MP-PI308523,73
Mt.Wilson_4,Invasive,3,20.83618749,30.65444477,0.679711789,34.2238,-118.0616,California1,15
CMS12_4,Native,4,17.41747347,25.61461216,0.679981932,38.7,-9.1833,Portugal1,12
TurkmenistanW62449,Native,3,22.79259082,33.51377521,0.68009619,37.444722,54.230556,MP-W624449,55
Mt.Wilson_4,Invasive,5,17.04313993,25.03787405,0.680694371,34.2238,-118.0616,California1,19
HungaryW65565,Native,4,30.00571189,44.0584701,0.681042983,47.333333,19.883333,MP-W65565,83
ItalyW65256,Native,4,19.10142529,28.03787405,0.681272241,43.8,11.283333,MP-W65256,32
AustraliaPI197336,Invasive,3,24.81585271,36.24587157,0.684653221,-34.53333333,138.7333333,PI197336,43
NM58_13,Invasive,5,11.14366247,16.21110937,0.687408999,34.2238,-118.0616,California2,9
GILNS10_6,Native,3,15.07868594,21.92794136,0.68764713,37.708491,-8.099286,Portugal2,39
AustraliaPI197336,Invasive,2,23.47868594,34.13463253,0.687825947,-34.53333333,138.7333333,PI197336,46
AustraliaPI197336,Invasive,1,23.52040058,34.17686971,0.688196455,-34.53333333,138.7333333,PI197336,45
GILNS10_6,Native,2,22.47790213,32.62396917,0.688999613,37.708491,-8.099286,Portugal2,84
GILNS11_4,Native,2,3.73535054,5.39824957,0.691955882,37.708491,-8.099286,Portugal2,35
MaltaW65375,Native,1,24.00785519,34.66301797,0.692607182,35.866667,14.366667,MP-W65375,64
MaltaW65375,Native,1,22.58699787,32.5889457,0.693087714,35.866667,14.366667,MP-W65375,77
AlgeriaW65435,Native,1,19.52202134,28.15684934,0.693331172,35.7,2.6,MP-W65435,31
GreeceW65319,Native,5,26.10142529,37.60389566,0.694114927,39.06666667,21.98333333,MP-W65319,70
St.Augustine_3,Invasive,5,20.16640182,29.01058683,0.695139396,31.61666667,65.71666667,Florida1,3
MaltaW65375,Native,2,16.27121096,23.34534903,0.696978698,35.866667,14.366667,MP-W65375,64
